nodeID;Name;Cat 1 ID;Cat 2 ID;Cat 3 ID;Cat 4 ID;COUNTRY;Country ID
9206;Courmayeur (Italy) ;169;153;161;167;Italy;189
9207;Gran Paradiso National Park (Italy) ;161;163;;;Italy;189
9208;Innsbruck (Austria) ;143;155;;;Austria;195
9209;Wattens - Home of Swarovski brand (Austria) ;130;;143;155;Austria;195
9210;Bregenz - Lake Constance (Austria) ;143;155;161;139;Austria;195
9211;Kufstein (Austria) ;143;155;130;;Austria;195
9202;Hochesterwitz Castle (Austria) ;143;135;;;Austria;195
9201;Friesach (Austria) ;143;155;130;;Austria;195
9191;Ski Resort Dolni Morava - Sneznik (Czechia) ;169;153;161;133;Czechia;181
9192;Ski resort Ještěd - Jizera Mountains (Czechia) ;169;153;161;133;Czechia;181
9193;Skiaréna Jizerky (Czechia) ;169;153;161;133;Czechia;181
9194;Hellbrunn Castle (Austria) ;143;135;;;Austria;195
9195;Hallein + Salzwelten salt mine (Austria) ;143;155;130;;Austria;195
9196;Medieval fortress Hohenwerfen (Austria) ;130;;143;135;Austria;195
9197;Klagenfurt (Austria) ;143;155;;;Austria;195
9198;Lake Worthersee (Austria) ;161;139;;;Austria;195
9200;Garnitzklamm Gorge (Austria) ;161;133;;;Austria;195
9212;Milan (Milan) (Italy) ;130;;143;155;Italy;189
9213;Ski resort Lech (Austria) ;169;153;161;133;Austria;195
9226;Tripsdrill Adventure Park (Germany) ;175;177;;;Germany;191
9227;Phantasialand Amusement Park (Germany) ;175;177;;;Germany;191
9228;Lago d´Orta (Italy) ;161;139;130;;Italy;189
9229;Lake Maggiore (Italy) ;161;139;169;;Italy;189
9230;Lake Como (Italy) ;161;139;130;;Italy;189
9231;Lago d´Iseo (Italy) ;161;139;161;163;Italy;189
9232;Lake Garda (Italy) ;161;139;130;;Italy;189
9233;In Riva del Garda, Italy (Italy) ;161;139;130;;Italy;189
9234;Aqualandia Benidorm - aquapark (Spain) ;175;125;;;Spain;199
9225;Hradec Králové (Czechia) ;130;;143;155;Czechia;181
9224;Walibi Amusement Park (Belgium) ;175;177;;;Belgium;179
9223;BonBon Land Amusement Park (GermanyN) ;175;177;;;GermanyN;
9214;Bergamo (Italy) ;130;;143;155;Italy;189
9215;Prater Amusement Park (Austria) ;175;177;;;Austria;195
9216;Tree Top Trail - Baumkronenweg Kopfing (Austria) ;175;177;161;151;Austria;195
9217;Fantasiana - Erlebnispark Strasswalchen (Austria) ;175;177;;;Austria;195
9218;Brescia (Italy) ;130;;143;135;Italy;189
9219;Roznov pod Radhostem (Czechia) ;143;155;143;;Czechia;181
9220;Brno (Czechia) ;130;;143;155;Czechia;181
9221;Hansapark Amusement Park (Germany) ;175;177;;;Germany;191
9222;Cremona (Italy) ;130;;143;;Italy;189
9153;Esterházy Castle (Austria) ;143;135;;;Austria;195
9154;Augsburg Monastery of St Florian (Austria) ;143;135;143;141;Austria;195
9155;Benedictine monastery Kremsmunster (Austria) ;143;141;;;Austria;195
9156;Tivoli (Italy) ;130;;143;155;Italy;189
9157;Genoa (Italy) ;130;;169;171;Italy;189
9158;Torino (Italy) ;130;;143;155;Italy;189
9159;Albums (Italy) ;143;155;161;;Italy;189
9160;Špindlerův Mlýn - ski center (Czechia) ;143;155;169;153;Czechia;181
9161;Austrian Open Air Museum (Freilichtmuseum) (Austria) ;143;;130;;Austria;195
9162;Deutschlandsberg (Austria) ;143;155;143;135;Austria;195
9164;Mariazell (Austria) ;143;155;143;141;Austria;195
9152;Lake Neusiedler See (Austria) ;161;139;;;Austria;195
9151;Semmering (Austria) ;143;;130;;Austria;195
9150;Krems an der Donau (Austria) ;143;155;130;;Austria;195
9140;River Inn (Austria) ;161;167;169;165;Austria;195
9141;Linz (Austria) ;143;155;130;;Austria;195
9142;Rome (Italy) ;130;;143;155;Italy;189
9143;Ski area Sportwelt Amade (Austria) ;169;153;;;Austria;195
9144;Europa Sportregion Ski Resort (Hohe Tauern National Park) (Austria) ;169;153;161;133;Austria;195
9145;Ski resort Silveretta Arena-Ischgl (Austria) ;169;153;161;133;Austria;195
9146;Ski resort Kitzbuhel - Kirchberg (Austria) ;169;153;161;133;Austria;195
9147;Ski resort Otztal - Soelden (Austria) ;169;153;161;133;Austria;195
9148;Ski resort Arlberg (Austria) ;169;153;161;133;Austria;195
9149;Ski resort Silvretta Nova-Montafon (Austria) ;169;153;161;149;Austria;195
9163;Riegersburg Castle (Austria) ;143;135;130;;Austria;195
9189;Ski resort Klínovec - Ore Mountains (Czechia) ;169;153;161;133;Czechia;181
9178;Ski resort Bílá in Beskydy (Czechia) ;169;153;161;133;Czechia;181
9179;Areal Lipno nad Vltavou (Czechia) ;169;153;;;Czechia;181
9180;Říčky v Orlických horách - ski center (Czechia) ;169;153;;;Czechia;181
9181;Levoča - Levoča altar (Slovakia) ;143;141;143;155;Slovakia;197
9182;Lipno Treetop Trail (Czechia) ;161;151;175;;Czechia;181
9183;Chambord Castle (France) ;130;;143;135;France;187
9184;Saint-Tropez (France) ;130;;143;155;France;187
9185;Pernštejn Castle (Czechia) ;143;135;130;;Czechia;181
9186;Prague (Czechia) ;130;;143;155;Czechia;181
9187;Open-air museum Vlkolínec (Slovakia) ;130;;143;;Slovakia;197
9188;Bojnice Castle (Slovakia) ;130;;143;135;Slovakia;197
9177;Ski resort Kaprun - Zell am See (Austria) ;169;153;161;149;Austria;195
9176;Stubai Glacier (Stubaier Gletscher) (Austria) ;169;153;161;149;Austria;195
9165;Admont - Benedictine monastery (Austria) ;143;141;143;155;Austria;195
9166;Eisenerz (Mount Eisenberg) (Austria) ;161;133;143;155;Austria;195
9167;Bad Ischl (+ KaiserVilla Imperial Villa) (Austria) ;143;155;143;;Austria;195
9168;Hallstatter Zee (Austria) ;161;139;;;Austria;195
